parcelid,latitude,longitude
17100444,34340801,-119079610
17102429,34354313,-119076405
17109604,34266578,-119165392
17125829,34240014,-119024793
17132911,34226842,-119059815
17134926,34229816,-119050224
17139988,34226351,-118983853
17167359,34179289,-119169287
17179760,34200478,-119156509
17198685,34267854,-118883528
17212207,34199102,-118882964
17250387,34265106,-118747187
17254534,34278739,-118744589
17260270,34276919,-118664161
17283162,34190852,-118846479
17283891,34192567,-118838784
17291231,34194330,-118806073
17296734,34174051,-118757031
10727091,34188121,-118646361
10730788,34188446,-118616724
10735394,34171439,-118646883
10760933,34220631,-118521001
10772282,34209413,-118578052
10783331,34185891,-118550426
10784006,34192384,-118549670
10808112,34157695,-118595642
10826124,34206364,-118440743
10836049,34187044,-118513829
10837497,34188289,-118499379
10838338,34187846,-118485646
10863950,34144116,-118454129
10874829,34217368,-118401386
10887713,34181941,-118407191
10901050,34162410,-118394627
10917954,34129972,-118417216
10949658,34188449,-118341923
10954606,34214562,-118332182
10963287,34321837,-118454959
10967796,34294311,-118444755
10977412,34282897,-118444983
10981317,34274018,-118360452
10991805,34261090,-118340450
10997744,34253901,-118301427
11003421,34255732,-118267180
11017602,34290601,-118463256
11049110,34276980,-118474244
11060445,34239890,-118499777
11074135,34266973,-118533125
11161277,34451185,-118388443
11174690,34500272,-118629749
11195296,34589740,-118126298
11196458,34581149,-118123688
11203521,34570768,-118083732
11203790,34566381,-118076524
11204428,34560899,-118088137
11215519,34567650,-118020550
11243849,34474226,-117908098
11260905,34635978,-118226891
11280892,34687627,-118170029
11298368,34678761,-118107555
11330895,34503399,-118191445
11331030,34503021,-118169315
11398906,33975495,-118344547
11409970,33958843,-118323730
11409993,33958979,-118322643
11428477,33908939,-118323973
11457330,33963768,-118388835
11476413,33924627,-118418834
11496374,33870986,-118388140
11500018,33886747,-118390445
11502890,33890843,-118395781
11508164,33882364,-118405206
11533039,33986382,-118430879
11533607,33989894,-118424286
11545637,33990806,-118447923
11610085,34037252,-118412417
11636324,34082178,-118399239
11639479,34086675,-118412526
11640238,34097508,-118404809
11640788,34096498,-118420963
11648644,34091558,-118454040
11665883,34040735,-118559569
11666355,34043023,-118561365
11670849,34070471,-118560299
11688422,34037317,-118844111
11698940,33995180,-118356792
11707866,34006209,-118305085
11724609,34019777,-118343977
11729338,34030554,-118315744
11759834,33990926,-118270955
11763394,34000710,-118252884
11895127,34097431,-118139569
11915541,34092019,-118096767
11930055,34098198,-118071125
11931171,34094013,-118078400
11951252,34111517,-118257349
11964672,34104769,-118209609
11995437,34084985,-118340388
12024889,34119780,-118384553
12028575,34112579,-118330376
12028872,34111924,-118328798
12038509,34115601,-118284487
12057121,34175643,-118273369
12075904,34181361,-118205746
12077310,34156921,-118233068
12084427,34130424,-118237643
12121343,34138157,-118095190
12123741,34156784,-118081038
12133589,34152869,-118049615
12133758,34149391,-118054678
