zipcode,daily commute time,violent_crime_index,property_crime_index,Provider ID,Hospital Name,Location,State,County Name,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,schoolid,schoolname,lat,lng,schoollevel,schooltype,average score,teacher student ratio,enrollment,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
93510,47.0,14.7,19.0,,,,,,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,60000113904.0,Community Collaborative Charter,34.472640000000006,-118.19646100000001,Alternative,charter,52.53,17.9,1924.0,23.8,3.12,7.9,31.24,45.27,12.37,0.1
93510,47.0,14.7,19.0,,,,,,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,60000109444.0,High Desert,34.491367,-118.194745,Middle,public,53.06,19.4,272.0,38.6,1.1,0.74,40.07,56.62,0.74,0.73
93510,47.0,14.7,19.0,,,,,,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,60000113859.0,iLEAD Hybrid,34.45084,-118.62463100000001,Alternative,charter,46.27,21.7,2370.0,23.5,3.25,3.08,27.81,54.26,11.39,0.21
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002518.0,Agoura High,34.151167,-118.749305,High,public,87.71,24.8,2087.0,6.1,1.96,6.71,10.59,76.14,3.83,0.77
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002521.0,Indian Hills Continuation High,34.151154999999996,-118.749346,High,public,29.02,17.5,29.0,24.1,3.45,0.0,24.14,72.41,0.0,0.0
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002522.0,Lindero Canyon Middle,34.157140000000005,-118.785978,Middle,public,83.95,24.1,1018.0,6.9,1.18,7.76,12.57,74.85,3.05,0.59
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100012182.0,Mariposa School of Global Education,34.16191,-118.75591999999999,Elementary,public,82.79,25.3,393.0,4.3,1.53,2.04,11.96,75.57,8.4,0.5
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002525.0,Sumac Elementary,34.161383,-118.75559799999999,Elementary,public,81.75,25.6,418.0,26.1,3.11,4.55,39.71,47.37,5.02,0.24
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002527.0,Willow Elementary,34.158621000000004,-118.75783899999999,Elementary,public,95.0,24.8,595.0,4.9,1.18,10.25,9.08,76.47,3.03,0.0
91301,31.0,15.1,21.2,,,,,,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,62100002529.0,Yerba Buena Elementary,34.157374,-118.78586000000001,Elementary,public,89.37,23.1,416.0,6.0,1.92,14.9,13.22,66.35,3.12,0.49
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310929.0,Alhambra High,34.092871,-118.128771,High,public,77.69,24.7,2512.0,69.7,1.15,43.83,50.72,2.27,1.71,0.32
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310928.0,Century High,34.090551,-118.141805,High,public,10.9,14.5,116.0,60.3,1.72,9.48,79.31,3.45,5.17,0.87
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310937.0,Garfield Elementary,34.101078,-118.13286299999999,Elementary,public,76.45,24.6,643.0,61.3,1.56,34.68,54.9,3.58,4.82,0.46
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310938.0,Granada Elementary,34.098372999999995,-118.11666699999999,Elementary,public,47.43,19.6,454.0,71.4,1.54,30.84,60.13,6.17,1.32,-0.0
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310932.0,Independence High (Alternative),34.090661,-118.141227,High,public,29.33,21.6,89.0,51.7,2.25,15.73,76.4,3.37,2.25,-0.0
91801,30.0,40.6,49.5,50281.0,ALHAMBRA HOSPITAL MEDICAL CENTER,"100 S RAYMOND AVE ALHAMBRA, CA 91801 (34.090156, -118.145017)",CA,LOS ANGELES,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,60015310930.0,Mark Keppel High,34.070482,-118.11559399999999,High,public,91.46,26.7,2281.0,52.7,0.26,72.29,22.75,1.49,3.02,0.19
