zipcode,daily commute time,violent_crime_index,property_crime_index,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,average score,teacher student ratio,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
93510,47,14.7,19,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,52.53,17.9,23.8,3.12,7.9,31.24,45.27,12.37,0.1
93510,47,14.7,19,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,53.06,19.4,38.6,1.1,0.74,40.07,56.62,0.74,0.73
93510,47,14.7,19,"89,403","7,836",46.5,75.6,2.6,0.9,17.7,3.2,46.27,21.7,23.5,3.25,3.08,27.81,54.26,11.39,0.21
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,87.71,24.8,6.1,1.96,6.71,10.59,76.14,3.83,0.77
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,29.02,17.5,24.1,3.45,0,24.14,72.41,0,0
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,83.95,24.1,6.9,1.18,7.76,12.57,74.85,3.05,0.59
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,82.79,25.3,4.3,1.53,2.04,11.96,75.57,8.4,0.5
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,81.75,25.6,26.1,3.11,4.55,39.71,47.37,5.02,0.24
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,95,24.8,4.9,1.18,10.25,9.08,76.47,3.03,0
91301,31,15.1,21.2,"109,913","26,028",43.6,76.9,1.4,6.6,12.4,2.7,89.37,23.1,6,1.92,14.9,13.22,66.35,3.12,0.49
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,77.69,24.7,69.7,1.15,43.83,50.72,2.27,1.71,0.32
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,10.9,14.5,60.3,1.72,9.48,79.31,3.45,5.17,0.87
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,76.45,24.6,61.3,1.56,34.68,54.9,3.58,4.82,0.46
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,47.43,19.6,71.4,1.54,30.84,60.13,6.17,1.32,0
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,29.33,21.6,51.7,2.25,15.73,76.4,3.37,2.25,0
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,91.46,26.7,52.7,0.26,72.29,22.75,1.49,3.02,0.19
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,85.85,27.3,60.2,0.72,69.71,27.76,0.63,0.9,0.28
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,77.01,26.1,69.1,0.8,35.77,55.59,3.59,3.99,0.26
91801,30,40.6,49.5,"51,225","54,928",40.1,10.5,1.7,53.1,33.1,1.6,53.65,22.2,81.9,0.31,41.18,54.8,1.86,1.24,0.61
91803,30,33.5,41.9,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2,62.97,22.1,71.6,1.32,12.33,79.96,3.08,3.08,0.23
91803,30,33.5,41.9,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2,48.54,21.6,71,1.33,22.8,71.38,2.83,1.16,0.5
91803,30,33.5,41.9,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2,69.11,24.8,68.2,0.15,48.6,46.1,1.62,3.53,0
91803,30,33.5,41.9,"56,632","30,137",40.7,9.4,0.7,48.8,39.1,2,77.06,26,75.5,0.46,57.42,39.5,1.03,1.48,0.11
91001,31,25.3,31.5,"85,655","37,528",41.3,36.3,23.7,5.3,30.6,4.1,,,,,,,,,
91006,30,19.6,28.2,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,94.87,26.7,21,2.29,70.48,14.25,11.45,1.27,0.26
91006,30,19.6,28.2,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,96.96,24,15.8,2.29,62.67,14.02,20.08,0.94,0
91006,30,19.6,28.2,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,94.95,25.4,11.3,2,64.29,9,20.57,4,0.14
91006,30,19.6,28.2,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,21.97,11.8,19,4.76,35.71,42.86,11.9,4.76,0.01
91006,30,19.6,28.2,"84,021","33,200",42.8,27.2,0.5,54.2,15.6,2.5,95.44,23.9,24.2,1.51,71.84,13.74,11.81,1.1,0
